,Unnamed: 0,Company,TypeName,Inches,Ram,OpSys,Weight,Price,processor_speed,processor_series,cpu_brand,full_hd,touchscreen,panel_type,screen_width,screen_height,gpu_brand,gpu_series,gpu_model,ssd_gb,hdd_gb,is_flash_storage
28,29,HP,Notebook,17.3,8,Windows 10,3,47739,1.6,Core i5,Intel,1,0,0,1920,1080,Nvidia,GeForce 930MX,930MX,0,1024,0
29,30,Chuwi,Notebook,15.6,4,Windows 10,2,13053,1.4,Atom x5-Z8300,Intel,1,0,0,1920,1080,Intel,HD Graphics,,0,0,1
30,31,Asus,Notebook,14.0,2,Windows 10,2,10603,1.5,E-Series E2-6110,AMD,0,0,0,1366,768,AMD,Radeon R2,R2,0,0,1
31,32,HP,Notebook,17.3,4,Windows 10,3,23390,2.5,A6-Series 9220,AMD,1,0,0,1920,1080,AMD,Radeon 530,530,0,0,0
32,33,Dell,Ultrabook,13.3,16,Windows 10,1,99580,1.8,Core i7,Intel,0,1,0,3200,1800,Intel,UHD Graphics,620,512,0,0
33,34,Apple,Ultrabook,13.3,8,Mac OS X,1,53173,1.6,Core i5,Intel,0,0,0,1440,900,Intel,HD Graphics,6000,0,0,1
34,35,Lenovo,Notebook,14.0,4,Windows 10,1,13267,1.1,Celeron Dual,Intel,0,0,0,1366,768,Intel,HD Graphics,500,0,0,1
35,36,Acer,Notebook,15.6,4,Linux,2,19554,2.7,Core i3,Intel,0,0,0,1366,768,Intel,HD Graphics,620,0,1024,0
36,37,Dell,Notebook,17.3,8,Windows 10,3,52161,1.6,Core i5,Intel,1,0,1,1920,1080,AMD,Radeon 530,530,128,1024,0
37,38,HP,Notebook,15.6,4,Windows 10,2,26037,2.5,Core i5,Intel,0,0,0,1366,768,Intel,HD Graphics,620,0,1024,0
38,39,HP,Notebook,15.6,8,Windows 10,2,46833,1.6,Core i5,Intel,1,0,0,1920,1080,Nvidia,GeForce 930MX,,256,0,0
39,40,Asus,Notebook,15.6,4,Linux,2,20726,2.0,Core i3,Intel,1,0,0,1920,1080,Intel,HD Graphics,620,0,1024,0
40,41,Dell,Gaming,15.6,16,Windows 10,3,79867,2.8,Core i7,Intel,1,0,1,1920,1080,Nvidia,GeForce GTX,1060,256,1024,0
41,42,Asus,Notebook,15.6,8,Linux,2,27865,2.5,Core i5,Intel,0,0,0,1366,768,Nvidia,GeForce 940MX,940MX,0,1024,0
42,43,Acer,Notebook,15.6,4,Windows 10,2,36337,1.6,Core i5,Intel,1,0,1,1920,1080,Intel,UHD Graphics,620,256,0,0
43,44,Dell,2 in 1 Convertible,17.3,12,Windows 10,3,53227,1.6,Core i5,Intel,1,1,0,1920,1080,Nvidia,GeForce 150MX,150MX,0,1024,0
44,45,Apple,Ultrabook,13.3,8,macOS,1,75604,2.0,Core i5,Intel,0,0,1,2560,1600,Intel,Iris Graphics,540,256,0,0
45,47,Asus,Gaming,17.3,8,Windows 10,3,69211,3.0,Ryzen 1700,AMD,1,0,0,1920,1080,AMD,Radeon RX,580,256,1024,0
46,48,Dell,Notebook,15.6,4,Windows 10,2,34046,2.5,Core i5,Intel,1,0,0,1920,1080,AMD,Radeon R5,M430,256,0,0
47,49,Asus,Notebook,17.3,4,Windows 10,3,24828,1.1,Pentium Quad,Intel,0,0,0,1366,768,Nvidia,GeForce 920MX,920MX,0,1024,0
48,51,Acer,Notebook,15.6,8,Windows 10,2,44808,1.8,Core i7,Intel,1,0,1,1920,1080,Nvidia,GeForce MX150,MX150,256,0,0
49,52,HP,Notebook,15.6,4,Windows 10,2,21232,2.5,A6-Series 9220,AMD,1,0,0,1920,1080,AMD,Radeon R4,,256,0,0
50,53,HP,Notebook,13.3,8,Windows 10,1,58768,1.8,Core i7,Intel,1,0,0,1920,1080,Intel,UHD Graphics,620,512,0,0
51,54,Acer,Notebook,15.6,4,Windows 10,2,20460,2.4,Core i3,Intel,0,0,0,1366,768,Intel,HD Graphics,620,0,1024,0
52,55,Dell,Notebook,15.6,8,Windows 10,2,40908,1.8,Core i7,Intel,1,0,0,1920,1080,AMD,Radeon 520,520,256,0,0
53,56,HP,Notebook,15.6,4,Windows 10,2,23390,2.0,Core i3,Intel,1,0,0,1920,1080,Intel,HD Graphics,520,128,0,0
54,57,Asus,Notebook,15.6,4,Windows 10,2,31232,2.5,Core i5,Intel,0,0,0,1366,768,Intel,HD Graphics,620,256,0,0
55,58,MSI,Gaming,17.3,16,Windows 10,2,130483,2.8,Core i7,Intel,1,0,0,1920,1080,Nvidia,GeForce GTX,1070,256,0,0
56,59,Asus,Notebook,15.6,4,Linux,2,22111,2.0,Core i3,Intel,1,0,0,1920,1080,Intel,HD Graphics,520,256,0,0
57,60,Dell,Notebook,17.3,16,Windows 10,3,69211,1.8,Core i7,Intel,1,0,0,1920,1080,AMD,Radeon 530,530,256,0,0
58,61,Dell,Ultrabook,14.0,8,Windows 10,2,46833,1.6,Core i5,Intel,1,0,0,1920,1080,Intel,UHD Graphics,620,256,0,0
59,62,Lenovo,Notebook,14.0,8,No OS,2,31915,2.7,Core i3,Intel,1,0,1,1920,1080,Intel,HD Graphics,620,256,0,0
60,63,Asus,Notebook,14.0,8,Windows 10,1,50136,1.6,Core i5,Intel,1,0,0,1920,1080,Intel,UHD Graphics,620,256,0,0
61,64,HP,Notebook,15.6,8,Windows 10,2,36763,2.5,Core i5,Intel,1,0,0,1920,1080,Intel,HD Graphics,620,256,0,0
62,65,Asus,Ultrabook,15.6,16,Windows 10,2,105654,2.8,Core i7,Intel,1,0,0,1920,1080,Nvidia,GeForce GTX,Ti,512,0,0
63,66,HP,Notebook,15.6,4,Windows 10,2,23373,2.0,Core i3,Intel,0,0,0,1366,768,AMD,Radeon 520,520,0,0,0
64,67,HP,Notebook,14.0,4,Windows 10,1,12201,1.6,Celeron Dual,Intel,0,0,0,1366,768,Intel,HD Graphics,400,32,0,0
65,68,Lenovo,Notebook,15.6,4,Windows 10,2,29251,2.5,Core i5,Intel,1,0,0,1920,1080,Intel,HD Graphics,620,0,1024,0
66,69,Asus,Gaming,17.3,12,Linux,3,50563,2.8,Core i7,Intel,1,0,0,1920,1080,Nvidia,GeForce GTX,Ti,0,1024,0
67,70,Microsoft,Ultrabook,13.5,4,Windows 10 S,1,58022,2.5,Core i5,Intel,0,1,0,2256,1504,Intel,HD Graphics,620,128,0,0
68,71,Dell,Ultrabook,13.3,64,Windows 10,1,50882,1.8,Core i7,Intel,1,0,1,1920,1080,AMD,Radeon 530,530,256,0,0
69,72,Dell,Notebook,15.6,8,Windows 10,2,46354,1.8,Core i7,Intel,1,0,0,1920,1080,AMD,Radeon 530,530,256,0,0
70,73,MSI,Gaming,17.3,8,Windows 10,3,58342,2.5,Core i5,Intel,1,0,0,1920,1080,Nvidia,GeForce GTX,1050,128,1024,0
71,74,Acer,Notebook,14.0,8,Windows 10,2,20726,2.0,Core i3,Intel,0,0,0,1366,768,Intel,HD Graphics,520,0,1024,0
72,75,Asus,Gaming,15.6,8,Windows 10,2,50563,2.8,Core i7,Intel,1,0,0,1920,1080,Nvidia,GeForce GTX,1050,0,1024,0
73,76,Lenovo,Notebook,15.6,8,No OS,2,27652,2.5,Core i5,Intel,1,0,0,1920,1080,Intel,HD Graphics,620,0,0,0
74,77,Dell,Notebook,15.6,8,Windows 10,2,45554,1.8,Core i7,Intel,1,0,0,1920,1080,Intel,UHD Graphics,620,128,1024,0
75,78,Acer,Notebook,15.6,4,Windows 10,2,28238,2.7,Core i3,Intel,1,0,0,1920,1080,Nvidia,GeForce MX130,MX130,0,1024,0
76,79,HP,Notebook,17.3,8,Windows 10,3,52055,1.6,Core i5,Intel,1,0,0,1920,1080,Nvidia,GeForce 930MX,930MX,128,1024,0
77,80,Dell,Ultrabook,15.6,8,Windows 10,2,58403,1.6,Core i5,Intel,1,0,1,1920,1080,Intel,UHD Graphics,620,256,0,0
78,81,Apple,Ultrabook,12.0,8,macOS,1,80453,1.3,Core i5,Intel,0,0,1,2304,1440,Intel,HD Graphics,615,512,0,0
79,82,HP,Notebook,14.0,8,Windows 10,2,45821,1.6,Core i5,Intel,1,0,0,1920,1080,Intel,HD Graphics,620,256,0,0
80,83,Lenovo,Notebook,15.6,4,Windows 10,2,21259,2.5,A6-Series 9220,AMD,1,0,0,1920,1080,AMD,R4 Graphics,,128,0,0
81,84,Acer,Notebook,15.6,4,Windows 10,2,21046,3.0,A9-Series 9420,AMD,0,0,0,1366,768,AMD,Radeon R5,R5,0,1024,0
82,85,Dell,Gaming,15.6,16,Windows 10,3,71875,2.8,Core i7,Intel,1,0,1,1920,1080,Nvidia,GeForce GTX,Ti,128,1024,0
83,86,HP,Ultrabook,15.6,8,Windows 10,2,37243,1.8,Core i7,Intel,1,0,1,1920,1080,Nvidia,GeForce GTX,940MX,256,0,0
84,87,HP,Notebook,15.6,8,Windows 10,2,31914,2.5,Core i5,Intel,1,0,0,1920,1080,Intel,HD Graphics,620,256,0,0
85,88,Asus,Gaming,15.6,16,Windows 10,2,77203,2.8,Core i7,Intel,1,0,1,1920,1080,Nvidia,GeForce GTX,1060,128,1024,0
86,89,Dell,Ultrabook,13.3,8,Windows 10,1,87859,1.8,Core i7,Intel,1,0,1,1920,1080,Intel,UHD Graphics,620,256,0,0
87,90,Asus,Gaming,15.6,8,Windows 10,2,37243,3.0,FX 9830P,AMD,1,0,0,1920,1080,AMD,Radeon RX,560,0,1024,0
88,91,Acer,Notebook,15.6,2,Windows 10,2,36710,1.8,Core i7,Intel,1,0,0,1920,1080,Nvidia,GeForce MX150,MX150,0,1024,0
89,92,HP,Notebook,13.3,16,Windows 10,1,63776,1.8,Core i7,Intel,1,0,0,1920,1080,Intel,UHD Graphics,620,512,0,0
90,93,Dell,Gaming,15.6,8,Windows 10,3,63670,2.5,Core i5,Intel,1,0,0,1920,1080,Nvidia,GeForce GTX,1060,256,0,0
91,94,Asus,Ultrabook,14.0,8,Windows 10,1,55891,2.7,Core i7,Intel,1,0,0,1920,1080,Intel,HD Graphics,620,256,0,0
92,95,Acer,2 in 1 Convertible,13.3,8,Windows 10,2,45128,1.6,Core i5,Intel,1,1,1,1920,1080,Intel,UHD Graphics,620,256,0,0
93,96,Dell,Notebook,15.6,8,Linux,2,31963,2.7,Core i7,Intel,1,0,0,1920,1080,AMD,Radeon R5,M430,0,1024,0
94,97,Dell,Notebook,15.6,4,Linux,2,25841,2.0,Core i3,Intel,1,0,0,1920,1080,AMD,Radeon R5,M430,256,0,0
95,98,Asus,Notebook,15.6,6,Windows 10,2,30743,2.4,Core i3,Intel,1,0,0,1920,1080,Nvidia,GeForce 920M,920M,256,0,0
96,99,HP,Gaming,15.6,12,Windows 10,3,66547,2.8,Core i7,Intel,1,0,1,1920,1080,Nvidia,GeForce GTX,1050,128,1024,0
97,100,HP,Notebook,15.6,8,Windows 10,2,38308,2.7,Core i7,Intel,1,0,0,1920,1080,AMD,Radeon 530,530,256,0,0
98,101,HP,Notebook,15.6,4,Windows 10,2,18595,1.5,E-Series E2-9000e,AMD,1,0,0,1920,1080,AMD,Radeon R2,R2,0,0,0
99,102,Dell,Notebook,15.6,8,Linux,2,34472,1.6,Core i5,Intel,1,0,0,1920,1080,AMD,Radeon 520,520,0,1024,0
100,103,HP,Ultrabook,13.3,8,Windows 10,1,59620,2.7,Core i7,Intel,1,0,1,1920,1080,Nvidia,GeForce MX150,MX150,256,0,0
101,104,Microsoft,Ultrabook,13.5,8,Windows 10 S,1,71395,2.5,Core i5,Intel,0,1,0,2256,1504,Intel,HD Graphics,620,256,0,0
102,105,HP,Notebook,14.0,6,Windows 10,2,35112,2.5,Core i5,Intel,1,0,1,1920,1080,Nvidia,GeForce 940MX,940MX,256,0,0
103,106,Lenovo,Notebook,15.6,4,Windows 10,2,22106,2.0,Core i3,Intel,1,0,0,1920,1080,Intel,HD Graphics,520,0,1024,0
104,107,Asus,Ultrabook,14.0,8,Windows 10,1,63563,2.7,Core i7,Intel,1,0,1,1920,1080,Nvidia,GeForce 940MX,940MX,256,0,0
105,108,MSI,Gaming,15.6,16,Windows 10,2,69211,2.8,Core i7,Intel,1,0,0,1920,1080,Nvidia,GeForce GTX,Ti,256,1024,0
106,109,Lenovo,Notebook,14.0,8,Windows 10,2,78854,2.7,Core i7,Intel,1,0,1,1920,1080,Intel,HD Graphics,620,256,0,0
107,110,Asus,Ultrabook,15.6,16,Windows 10,2,67239,1.8,Core i7,Intel,1,0,0,1920,1080,Nvidia,GeForce MX150,MX150,256,1024,0
108,111,Dell,Ultrabook,13.3,8,Windows 10,1,73473,2.4,Core i7,Intel,0,1,0,3200,1800,Intel,Iris Plus,640,256,0,0
109,112,Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1,74539,2.5,Core i5,Intel,1,1,1,1920,1080,Intel,HD Graphics,620,256,0,0
110,113,HP,Notebook,14.0,4,Windows 10,2,38468,1.6,Core i5,Intel,0,0,1,1366,768,Intel,UHD Graphics,620,0,0,0
111,114,Dell,Ultrabook,13.3,8,Windows 10,1,86793,1.6,Core i5,Intel,1,0,1,1920,1080,Intel,UHD Graphics,620,256,0,0
112,116,HP,Notebook,14.0,8,Windows 10,2,57756,1.8,Core i7,Intel,1,0,0,1920,1080,Intel,UHD Graphics,620,512,0,0
113,117,Dell,Notebook,15.6,8,Windows 10,2,60224,1.8,Core i7,Intel,1,0,1,1920,1080,Nvidia,GeForce 940MX,940MX,256,1024,0
114,118,Asus,Notebook,17.3,4,Windows 10,2,30050,2.0,Core i3,Intel,1,0,0,1920,1080,Nvidia,GeForce 920MX,920MX,0,1024,0
115,119,Asus,Notebook,15.6,8,Windows 10,2,59567,1.8,Core i7,Intel,1,0,0,1920,1080,Nvidia,GeForce 940MX,940MX,256,0,0
116,120,Acer,Notebook,15.6,6,Windows 10,2,25521,2.4,Core i3,Intel,1,1,1,1920,1080,Intel,HD Graphics,620,0,1024,0
117,121,MSI,Gaming,15.6,16,Windows 10,2,119427,2.8,Core i7,Intel,1,0,0,1920,1080,Nvidia,GeForce GTX,1070,256,0,0
118,122,Lenovo,Notebook,15.6,8,No OS,2,33513,2.5,Core i5,Intel,1,0,0,1920,1080,Nvidia,GeForce 940MX,940MX,256,0,0
119,123,HP,Notebook,17.3,16,Windows 10,3,67719,1.8,Core i7,Intel,1,0,0,1920,1080,Nvidia,GeForce 930MX,,512,0,0
120,124,Acer,Notebook,15.6,4,Windows 10,2,24029,3.0,A9-Series 9420,AMD,0,0,0,1366,768,AMD,Radeon R5,R5,256,0,0
121,126,HP,Notebook,14.0,8,Windows 10,2,43263,1.6,Core i5,Intel,1,0,0,1920,1080,Intel,UHD Graphics,620,0,1024,0
122,127,Asus,Notebook,14.0,4,Windows 10 S,2,14811,1.5,E-Series 6110,AMD,0,0,0,1366,768,AMD,Radeon R2,R2,64,0,0
123,128,Dell,Notebook,17.3,16,Windows 10,3,74379,1.8,Core i7,Intel,1,0,0,1920,1080,AMD,Radeon 530,530,256,0,0
124,129,HP,Notebook,17.3,8,Windows 10,3,49444,1.6,Core i5,Intel,1,0,0,1920,1080,Intel,UHD Graphics,620,256,0,0
125,130,Dell,Notebook,15.6,8,Windows 10,2,34045,2.5,Core i5,Intel,0,0,0,1366,768,AMD,Radeon R7,M445,0,1024,0
126,131,Dell,Notebook,15.6,4,Windows 10,2,23923,2.0,Core i3,Intel,1,0,0,1920,1080,AMD,Radeon R5,M430,0,1024,0
127,132,Acer,Ultrabook,14.0,8,Windows 10,2,47100,1.8,Core i7,Intel,1,0,1,1920,1080,Intel,UHD Graphics,620,256,0,0
128,133,Acer,Notebook,15.6,4,Windows 10,7,30476,2.7,Core i3,Intel,1,0,0,1920,1080,Nvidia,GeForce MX130,MX130,256,0,0
129,134,HP,Notebook,15.6,8,Windows 10,2,31861,2.7,Core i7,Intel,0,0,0,1366,768,Intel,HD Graphics,620,0,1024,0
130,135,HP,Notebook,14.0,8,Windows 10,2,52641,1.8,Core i7,Intel,1,0,0,1920,1080,Intel,UHD Graphics,620,256,0,0
131,136,Lenovo,Notebook,15.6,4,No OS,2,13446,1.1,Celeron Dual,Intel,0,0,0,1366,768,Intel,HD Graphics,500,0,1024,0
132,137,Asus,Gaming,17.3,8,Windows 10,3,49977,2.5,Core i5,Intel,1,0,0,1920,1080,Nvidia,GeForce GTX,1050,128,1024,0
133,138,Lenovo,Notebook,15.6,4,No OS,2,26587,2.5,Core i5,Intel,1,0,0,1920,1080,Nvidia,GeForce 920MX,920MX,0,1024,0
134,139,HP,Notebook,13.3,4,Windows 10,1,37243,2.5,Core i5,Intel,1,0,1,1920,1080,Intel,HD Graphics,620,256,0,0
135,140,Acer,Notebook,17.3,4,Windows 10,3,34898,2.7,Core i3,Intel,1,0,1,1920,1080,Nvidia,GeForce MX130,MX130,0,1024,0
136,141,Lenovo,Notebook,14.0,8,Windows 10,2,59462,1.6,Core i5,Intel,1,0,1,1920,1080,AMD,Radeon RX,550,256,0,0
137,142,Lenovo,Gaming,15.6,8,No OS,2,46300,2.8,Core i7,Intel,1,0,1,1920,1080,Nvidia,GeForce GTX,1050M,256,0,0
138,143,Toshiba,Notebook,15.6,4,Windows 10,2,32075,2.3,Core i5,Intel,0,0,0,1366,768,Intel,HD Graphics,520,0,0,0
139,144,HP,Notebook,15.6,4,Windows 10,2,19660,2.5,A6-Series 9220,AMD,0,0,0,1366,768,AMD,Radeon R4,,256,0,0
140,145,Asus,Ultrabook,14.0,8,Windows 10,1,58555,1.8,Core i7,Intel,1,0,0,1920,1080,Intel,UHD Graphics,620,256,0,0
141,146,HP,Ultrabook,12.5,8,Windows 10,1,107306,1.2,Core M,Intel,0,1,1,3840,2160,Intel,HD Graphics,515,512,0,0
142,147,Asus,Notebook,15.6,4,Windows 10,2,18328,1.1,Celeron Dual,Intel,1,0,0,1920,1080,Intel,HD Graphics,500,0,1024,0
143,149,Acer,Notebook,15.6,4,Windows 10,2,23816,2.0,Core i3,Intel,0,0,0,1366,768,Intel,HD Graphics,520,0,1024,0
144,150,Dell,Gaming,15.6,16,Windows 10,3,66561,2.8,Core i7,Intel,1,0,0,1920,1080,Nvidia,GeForce GTX,1050,512,0,0
145,151,Dell,Gaming,15.6,8,Windows 10,3,47899,2.8,Core i7,Intel,1,0,0,1920,1080,Nvidia,GeForce GTX,1050,0,0,0
146,152,Lenovo,Notebook,15.6,4,Windows 10,2,26533,2.5,Core i5,Intel,0,0,0,1366,768,Intel,HD Graphics,620,128,0,0
147,153,MSI,Gaming,17.3,16,Windows 10,3,100699,2.8,Core i7,Intel,1,0,0,1920,1080,Nvidia,GeForce GTX,1060,256,1024,0
148,154,HP,Ultrabook,14.0,4,Windows 10,1,57649,2.7,Core i5,Intel,1,0,0,1920,1080,Intel,HD Graphics,620,256,0,0
149,155,HP,Notebook,15.6,6,Windows 10,2,32980,1.6,Core i5,Intel,1,0,0,1920,1080,AMD,Radeon 520,520,256,0,0
150,156,Lenovo,2 in 1 Convertible,14.0,4,Windows 10,2,33513,2.4,Core i3,Intel,1,1,1,1920,1080,Intel,HD Graphics,620,256,0,0
151,157,Asus,2 in 1 Convertible,13.3,8,Windows 10,1,70063,1.6,Core i5,Intel,1,1,0,1920,1080,Intel,HD Graphics,620,256,0,0
152,158,Dell,2 in 1 Convertible,15.6,8,Windows 10,2,55891,1.8,Core i7,Intel,1,1,0,1920,1080,Intel,UHD Graphics,620,256,0,0
153,159,Toshiba,Notebook,15.6,4,Windows 10,2,23816,2.2,Core i3,Intel,0,0,0,1366,768,Intel,HD Graphics,520,0,0,0
154,160,Asus,Notebook,15.6,4,Windows 10,2,21472,3.0,A9-Series 9420,AMD,0,0,0,1366,768,AMD,Radeon R5,M420,0,1024,0
155,161,Acer,Notebook,17.3,4,Windows 10,3,42890,1.6,Core i5,Intel,1,0,1,1920,1080,Nvidia,GeForce MX150,MX150,256,0,0
156,162,Dell,Notebook,15.6,8,Windows 10,2,38788,1.6,Core i5,Intel,1,0,0,1920,1080,AMD,Radeon 520,520,256,0,0
157,163,Lenovo,Gaming,15.6,16,Windows 10,3,57489,2.8,Core i7,Intel,1,0,1,1920,1080,Nvidia,GeForce GTX,Ti,256,0,0
158,164,Acer,Notebook,15.6,4,Windows 10,2,18541,1.1,Celeron Dual,Intel,0,0,0,1366,768,Intel,HD Graphics,500,0,1024,0
159,165,MSI,Gaming,15.6,16,Windows 10,2,95851,2.8,Core i7,Intel,1,0,1,1920,1080,Nvidia,GeForce GTX,1060,256,1024,0
160,166,Acer,Notebook,15.6,4,Windows 10,2,19368,1.1,Pentium Quad,Intel,0,0,0,1366,768,Intel,HD Graphics,505,0,1024,0
161,167,Dell,Gaming,15.6,8,Windows 10,3,56503,2.8,Core i7,Intel,1,0,0,1920,1080,Nvidia,GeForce GTX,1050,128,1024,0
162,168,Acer,Notebook,17.3,8,Windows 10,3,45501,1.6,Core i5,Intel,1,0,1,1920,1080,Nvidia,GeForce MX150,MX150,256,0,0
163,169,HP,Notebook,13.3,4,Windows 10,1,40173,1.6,Core i5,Intel,1,0,1,1920,1080,Intel,UHD Graphics,620,0,0,0
164,170,Huawei,Ultrabook,13.0,8,Windows 10,1,71875,2.5,Core i5,Intel,1,0,1,2160,1440,Intel,HD Graphics,620,256,0,0
165,171,HP,Notebook,17.3,6,Windows 10,3,37243,2.5,Core i5,Intel,1,0,1,1920,1080,AMD,Radeon 520,520,0,0,0
166,172,Lenovo,Notebook,15.6,4,No OS,2,16464,2.9,A6-Series 9220,AMD,0,0,0,1366,768,AMD,Radeon R4,,0,0,0
167,173,Toshiba,Notebook,15.6,4,Windows 10,5,26054,2.4,Core i3,Intel,0,0,0,1366,768,Intel,HD Graphics,620,0,0,0
168,174,HP,Notebook,17.3,8,Windows 10,3,49177,1.6,Core i5,Intel,1,0,0,1920,1080,Nvidia,GeForce 930MX,930MX,256,0,0
169,175,Dell,Notebook,15.6,8,Windows 10,2,24456,2.4,Core i3,Intel,0,0,0,1366,768,Intel,HD Graphics,620,0,1024,0
170,176,Acer,Notebook,15.6,4,Windows 10,2,23923,2.0,Core i3,Intel,0,0,0,1366,768,Intel,HD Graphics,520,128,0,0
171,177,MSI,Gaming,18.4,32,Windows 10,4,149131,2.9,Core i7,Intel,1,0,0,1920,1080,Nvidia,GTX 980,SLI,512,1024,0
172,178,Lenovo,Notebook,15.6,8,Windows 10,2,43317,2.5,Core i5,Intel,1,0,0,1920,1080,AMD,AMD R17M-M1-70,R17M-M1-70,128,1024,0
173,179,HP,2 in 1 Convertible,13.3,8,Windows 10,1,79867,1.6,Core i5,Intel,0,1,1,3840,2160,Intel,UHD Graphics,620,256,0,0
174,180,Dell,Notebook,15.6,16,Linux,2,55891,1.8,Core i7,Intel,1,0,0,1920,1080,AMD,Radeon 530,530,256,0,0
175,181,Dell,Ultrabook,13.3,8,Windows 10,1,74539,1.6,Core i5,Intel,1,0,0,1920,1080,Intel,UHD Graphics,620,256,0,0
176,182,Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1,98515,1.8,Core i7,Intel,0,1,1,3840,2160,Intel,UHD Graphics,620,512,0,0
177,183,Toshiba,Notebook,15.6,8,Windows 10,2,42251,2.5,Core i5,Intel,0,0,0,1366,768,Intel,HD Graphics,620,128,0,0
178,184,Xiaomi,Notebook,15.6,8,No OS,2,63883,1.6,Core i5,Intel,1,0,1,1920,1080,Nvidia,GeForce MX150,MX150,256,0,0
